SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,785 Golden Gate Ave #403,San Francisco,CA,94102,699000,1,1.0,San Francisco,,6900,1983,7,,480,Active,August-15-2021 02:00 PM,August-15-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/785-Golden-Gate-Ave-94102/unit-403/home/1136033,San Francisco MLS,421572274,N,Y,37.7803482,-122.423456
MLS Listing,,Condo/Co-op,1450 Franklin St #606,San Francisco,CA,94109,1550000,2,2.0,San Francisco,1273,12318,2017,7,1218,1027,Active,August-12-2021 05:30 PM,August-12-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/1450-Franklin-St-94109/unit-606/home/109297686,San Francisco MLS,421580197,N,Y,37.7881104,-122.4232776
MLS Listing,,Single Family Residential,571 Myra Way,San Francisco,CA,94127,2180000,4,4.5,San Francisco,1963,2169,1949,7,1111,,Active,August-14-2021 02:00 PM,August-14-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/571-Myra-Way-94127/home/2011024,San Francisco MLS,421582012,N,Y,37.7386041,-122.45076
MLS Listing,,Condo/Co-op,851 Van Ness Ave #408,San Francisco,CA,94109,975000,2,2.0,San Francisco,1434,13170,2002,7,680,758,Active,,,http://www.redfin.com/CA/San-Francisco/851-Van-Ness-Ave-94109/unit-408/home/1234008,San Francisco MLS,421578432,N,Y,37.7835494,-122.4212867
MLS Listing,,Single Family Residential,832 Florida St,San Francisco,CA,94110,999988,4,2.0,Mission District,1920,,1900,7,521,,Active,,,http://www.redfin.com/CA/San-Francisco/832-Florida-St-94110/home/729949,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40961978,N,Y,37.7584984,-122.4108964
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 6C,San Francisco,CA,94102,898000,2,1.0,San Francisco,834,,2021,7,1077,613,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-6C/home/175990478,San Francisco MLS,421582249,N,Y,37.7808655,-122.4196054
MLS Listing,,Condo/Co-op,54 Woodward St Unit B,San Francisco,CA,94103,479000,1,1.0,San Francisco,399,1625,1907,7,1201,260,Active,August-15-2021 11:00 AM,August-15-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/54-Woodward-St-94103/unit-B/home/45078962,San Francisco MLS,421581835,N,Y,37.769004,-122.421035
MLS Listing,,Condo/Co-op,555 Golden Gate Ave Unit 6I,San Francisco,CA,94102,729000,1,1.0,San Francisco,670,,2021,7,1088,573,Active,,,http://www.redfin.com/CA/San-Francisco/555-Golden-Gate-Ave-94102/unit-6I/home/175990325,San Francisco MLS,421582238,N,Y,37.7808655,-122.4196054
MLS Listing,,Single Family Residential,2 Marvel Ct,San Francisco,CA,94121,1750000,3,3.0,San Francisco,1959,2548,1957,7,893,,Active,,,http://www.redfin.com/CA/San-Francisco/2-Marvel-Ct-94121/home/1427263,San Francisco MLS,421581762,N,Y,37.7830712,-122.4926746
MLS Listing,,Single Family Residential,113 Hoffman Ave,San Francisco,CA,94114,1750000,1,1.5,San Francisco,,2250,1900,7,,,Active,August-12-2021 05:30 PM,August-12-2021 06:30 PM,http://www.redfin.com/CA/San-Francisco/113-Hoffman-94114/home/1993131,San Francisco MLS,421570849,N,Y,37.7528487,-122.4405863
MLS Listing,,Vacant Land,210 Dock St,San Francisco,CA,94124,8000,0,,San Francisco,,5000,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/210-Dock-ST-94124/home/175988585,San Francisco MLS,421582127,N,Y,37.7304167,-122.384425
MLS Listing,,Vacant Land,111 Fitzgerald Ave,San Francisco,CA,94124,8000,0,,San Francisco,,5000,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/111-Fitzgerald-Ave-94124/home/110062857,San Francisco MLS,421582133,N,Y,37.7093514,-122.3713527
MLS Listing,,Vacant Land,681 Donner Ave,San Francisco,CA,94124,8000,0,,San Francisco,,5000,,7,,,Active,,,http://www.redfin.com/CA/San-Francisco/681-Donner-Ave-94124/home/110062822,San Francisco MLS,421582104,N,Y,37.714343,-122.376814
